ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
HP 14s-dq1020TU Intel Core i5-1035G1/4GB/256GB Đẹp,5900000.0,HP,Notebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,4.0,Onboard,256.0,,Hà Nội,4.8,84.0
Macbook air 2018 màu Gold,5500000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.9,4.0
"Asus FX505DT (Ryzen 7, 16GB, 512GB, GTX 1650 4GB)",11900000.0,Asus,FX Series/ZX Series,Mới,3.0,15.95,Ryzen 7,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.8,37.0
Dell Latitude E7280 I5 6300,5100000.0,Dell,Latitude,Mới,4.0,11.95,Intel Core i5,8.0,Onboard,256.0,,Đắk Lắk,5.0,1.0
"Bán laptop dell, sony vaio, samsung",1000000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Tp Hồ Chí Minh,,
Lenovo Ideapad Gaming 3 i7 10750H GTX 1650Ti CBH,11999000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),5.0,15.95,Intel Core i7,8.0,NVIDIA,512.0,Việt Nam,Tp Hồ Chí Minh,5.0,6.0
Asus A415 i5 1135G7 8G 512G 14in FHD IPS BHH,10500000.0,Asus,A series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,512.0,,Tp Hồ Chí Minh,4.8,12.0
laptop lenovo i5 8250U,7500000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,1000.0,,Bà Rịa - Vũng Tàu,,
Dell XPS 7390 i5 10210U 8G SSD 256G 13.3FHD Win10,12900000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,,
LENOVO LEGION 7 FULL CẤU HÌNH I9 RTX 3080 2TB,45500000.0,Lenovo,Legion Y Series,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i9,32.0,NVIDIA,1000.0,,Tp Hồ Chí Minh,,
𝐋𝐚𝐩𝐭𝐨𝐩 𝐋𝐞𝐧𝐨𝐯𝐨 𝐆𝐚𝐦𝐢𝐧𝐠– 𝐑𝐀𝐌 𝟏𝟔𝐆𝐁– 𝐕𝐆𝐀 Rời 𝐍𝐕𝐈𝐃𝐈𝐀 𝟒𝐆𝐁,8500000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.8,17.0
Laptop Dell 7300 2in1 ( Core i5 - 8G - 256G - 13”),10800000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,,
LAPTOP GAMING CHO ANH EM,13500000.0,Asus,A series,Đã sử dụng (chưa sửa chữa),1.0,15.95,AMD,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.1,13.0
Laptop MSI gaming GE60 ONC I7th3 VGA GT650M,2000000.0,MSI,GE Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,8.0,NVIDIA,128.0,,Tp Hồ Chí Minh,3.9,45.0
Dell j đó cắm sạc k báo j.,1500000.0,Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,Khác,128.0,,Hà Nội,4.4,7.0
"LAPTOP SONY I7, MÀN 15.6, RAM 4GB, HHD 500GB",2850000.0,Sony,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i7,4.0,Onboard,500.0,,Tp Hồ Chí Minh,3.9,7.0
