ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Laptop Toshiba L40a mỏng nhẹ pin trâu,3100000.0,Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i5,6.0,Onboard,128.0,,Bình Dương,4.9,5.0
laptop dell latitude E7490 i5 gen 8 ssd,6000000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,29.0
Hà nội - cần bán macbook air 2017,6200000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Hà Nội,,
Cần bán laptop mới mua MSI Morden 14,13500000.0,MSI,Dòng Khác,Đã sử dụng (chưa sửa chữa),7.0,13.95,Intel Core i5,8.0,NVIDIA,512.0,,Hải Phòng,,
Cần tiền bán gấp em lenovo ideapad gaming 3,11000000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,15.95,Ryzen 5,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,5.0,2.0
Dell Latitude E5470 i5 6300U 8G 256GB,5900000.0,Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Bà Rịa - Vũng Tàu,5.0,2.0
Lenovo Ideapad S145 Ryzen 3 3200U 4/256GB SSD,4900000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,13.95,Ryzen 3,4.0,,256.0,,Tp Hồ Chí Minh,4.7,97.0
SONY VAIO VJS151 I5-6300HQRAM8G-SSD128 đẹp như mới,4900000.0,Sony,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,23.0
Cần ra đi em laptop GF63,10500000.0,MSI,GF Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,,
laptop HP đời 2021 giá rẻ,8500000.0,HP,Pavilion,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,Khác,256.0,,Bắc Ninh,5.0,2.0
HP Elitebook 840G3 JP nguyên zin,4800000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,Nhật Bản,Hải Phòng,3.9,8.0
🍏MacBook Air M2 2022 Xanh Midnight Blue Sạc 10 Lần,22800000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),,13.95,Khác,8.0,Khác,256.0,,Đà Nẵng,4.8,22.0
Dell 7390 I5 8250U Ram 8G SSD 256G 13.3” FHD,7900000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.3,14.0
Dell Latitude E7390 hàng lỗi nhẹ xài ok giá rẻ,6000000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i7,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.8,69.0
Lenovo ideapad slim3 core i3-115g4/4gb/256gb,6200000.0,Lenovo,IdeaPad,Đã sử dụng (qua sửa chữa),,15.95,Intel Core i3,4.0,Onboard,256.0,,Tp Hồ Chí Minh,3.6,7.0
🍎MacBook Pro TouchBar 2017 MPXW2 512GB SSD (Gray),12000000.0,Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Khác,512.0,,Đà Nẵng,4.8,22.0
"LG G 16, Max option, 99%, có bút, Office bản quyền",18500000.0,LG,Gram,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,16.0,,512.0,,Tp Hồ Chí Minh,4.7,3.0
🍏MacBook Air 2020 MWTK2 Silver (256GB) Góp 0 đồng.,13800000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),,13.95,Khác,8.0,Onboard,256.0,,Đà Nẵng,4.8,22.0
Hp 350 G2 i5 5200u ram4 ssd256 card AMD màn 15.6,2700000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,4.0,NVIDIA,256.0,,Hà Nội,4.8,19.0
𝐃𝐄𝐋𝐋 𝐋𝐀𝐓𝐈𝐓𝐔𝐃𝐄 𝟑𝟑𝟒𝟎 𝐒𝐀𝐋𝐄 𝐆𝐈𝐀́ 𝐂𝐔̛̣𝐂 𝐑𝐄̉,3990000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i3,4.0,Onboard,128.0,,Đà Nẵng,,
Dell Precision 3510 i7 6700HQ 8G Card rời AMD 2G,8800000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,8.0,AMD,256.0,,Bà Rịa - Vũng Tàu,5.0,2.0
Macbook air 2017 13inch i5 ram 8gb ssd 128gb,6600000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Tp Hồ Chí Minh,,
Xát laptop samsung NB535U3X hư màn hình,950000.0,Samsung,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,13.95,AMD,4.0,,500.0,,Tp Hồ Chí Minh,4.5,42.0
LENOVO THINKPAD I5-5200U R4G –SSD128G ĐẸP ZIN 100%,3500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),4.0,11.95,Intel Core i5,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,23.0
🌈🌈🌈 Surface Pro 4 Core i5 máy đẹp+ sạc rin có góp,4500000.0,Microsoft,Surface Pro 4,Đã sử dụng (chưa sửa chữa),4.0,11.95,Intel Core i5,4.0,Onboard,64.0,Mỹ,Đà Nẵng,4.8,27.0
Laptop i 7,1200000.0,Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),,9.95,Intel Core i7,4.0,NVIDIA,64.0,,Đồng Nai,1.0,2.0
hp folio 9470m i3 4gb ssd 128 máy đẹp,2999999.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i3,4.0,Onboard,128.0,,Bến Tre,5.0,1.0
Dell Latitude E7480 Core i5-7200U /8GB /256GB /FHD,5700000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,4.8,84.0
Dell Precision 5510 US like new 99%,10400000.0,Dell,Precision Mobile Workstations,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,16.0,NVIDIA,512.0,,Hải Phòng,3.9,8.0
dell presion M7510 i7 16gb ssd 640gb VGA m2000m,10500000.0,Dell,Precision,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i7,16.0,NVIDIA,750.0,,Bến Tre,,
Laptop gaming MSI thinQ Gf65,15500000.0,MSI,GF Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,16.0,NVIDIA,512.0,Việt Nam,Tp Hồ Chí Minh,,
"HP 15s Hàng USA 99% - I5-1135G7/8G/256G/15.6""",9000000.0,HP,Notebook,Đã sử dụng (chưa sửa chữa),5.0,15.95,Intel Core i5,8.0,Onboard,256.0,,Bình Dương,4.8,10.0
Cần bán gấp macbook model A1181 Không Pin,800000.0,Apple,Macbook,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core 2 Duo,4.0,Khác,64.0,,Tp Hồ Chí Minh,,
Surface Go i5-1045G1/ram8/ssd128/ cảm ứng,8990000.0,Microsoft,Surface,Đã sử dụng (chưa sửa chữa),3.0,11.95,Intel Core i5,8.0,Onboard,128.0,,Bình Dương,5.0,12.0
Bán latop thinkpad x240,2500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0.0,11.95,Intel Core i5,8.0,Onboard,500.0,,Tp Hồ Chí Minh,,
Thinkbook 14s G2/ i7-1165G7/ full nhôm/ 1.2kg,10990000.0,Lenovo,ThinkBook,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i7,8.0,Onboard,512.0,Việt Nam,Bình Dương,5.0,12.0
Dell Xps 9310 i7 16/512GB,20000000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i7,16.0,,512.0,,Tp Hồ Chí Minh,4.0,2.0
"HP 440G8 i5/8g/512G còn BH, chưa tới 1/2 giá new",8999000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,512.0,,Bình Dương,5.0,12.0
Laptop i5 cấu hình cao xách tay nhật bản,5600000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,11.95,Intel Core i5,8.0,Onboard,250.0,,Bình Dương,5.0,1.0
HP Pavillon 15-i5 1240P (eg2083tu) New 100%,12990000.0,HP,Pavilion,Mới,9.0,15.95,Intel Core i5,8.0,Onboard,512.0,,Tp Hồ Chí Minh,,
Lenovo i3 đẹp,2800000.0,Lenovo,Essential (G series),Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,,500.0,,Đắk Lắk,4.9,8.0
Laptop Asus mỏng đẹp,2900000.0,Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),,13.95,Intel Pentium,4.0,,64.0,,Đắk Lắk,4.9,8.0
Acer i3 mỏng nhẹ,2800000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,,500.0,,Đắk Lắk,4.4,10.0
Laptop Dell 4110 i5 pin 1 tiếng,3000000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,4.0,,500.0,,Đắk Lắk,4.4,10.0
𝗛𝗣 𝗙𝗢𝗟𝗜𝗢 𝟵𝟰𝟳𝟬 - 𝗜𝟳 𝟯𝟲𝟲𝟳𝗨 / 𝗦𝗦𝗚 / VỎ NHÔM - 𝗭𝗜𝗡🆕,3900000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i7,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,32.0
"Dell Latitude 5400, i5 8365U RAM 8 GB SSD 256 GB",9990000.0,Dell,Latitude,Mới,,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
Cần bán laptop LG,7500000.0,LG,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,8.0,NVIDIA,512.0,,Hà Nội,5.0,1.0
Acer Aspire 5 A514-53 i5/8/512 nguyên tem,8500000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,512.0,,Bà Rịa - Vũng Tàu,3.2,3.0
Msi modern 14 b11mou i3 1115g4 /256gb/8gb/14'' fhd,8590000.0,MSI,Dòng Khác,Mới,4.0,,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,5.0
laptop usus core 2 còn đẹp,850000.0,Asus,K series,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core 2 Duo,4.0,Onboard,250.0,,Đồng Nai,4.9,4.0
dell N4110 i3 thế hệ 2 còn đẹp,1250000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,Onboard,320.0,,Đồng Nai,4.9,4.0
del xps 9305 i5 gen 11 máy dư dùng thanh ly,13300000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,,512.0,,Tp Hồ Chí Minh,2.4,4.0
Laptop Lenovo IdeaPad 5 Pro 512GB Bạc,20790000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4.0,15.95,Ryzen 7,16.0,NVIDIA,512.0,,Tây Ninh,,
Dell Vostro 14-5480 i5,3500000.0,Dell,Vostro,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,AMD,128.0,,Bình Định,5.0,4.0
Laptop Dell core i5 và HP i3 ram 4gb 500gb pin lâu,1200000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,Onboard,500.0,,Tp Hồ Chí Minh,4.8,4.0
Macbook Pro 16inch 2019 i9-64Gb-1TB màu Silver,31500000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i9,64.0,,1000.0,,Hà Nội,4.8,6.0
Laptop Razer Blade 15 Mercury White (RZ09-02886),16500000.0,Razer,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,NVIDIA,1000.0,,Tp Hồ Chí Minh,5.0,1.0
MSI modern 14 b5m 203vn like new,10000000.0,MSI,Dòng Khác,Đã sử dụng (chưa sửa chữa),3.0,13.95,AMD,8.0,Onboard,512.0,,Tp Hồ Chí Minh,4.0,1.0
